ID,Name,Category,Collection,Details,Source photos
"eylin-oud-guest-amenity-kit","EYLIN Oud Guest Amenity Kit","Gift Sets","EYLIN Oud","Coordinated guest amenities","source-assets\full-catalogue\website folder\wet amenities\Eylin Oud kit\IMG_20260416_184045.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\Eylin Oud kit\IMG_20260416_184714.png | source-assets\full-catalogue\website folder\wet amenities\Eylin Oud kit\IMG_20260416_185110.png | source-assets\full-catalogue\website folder\wet amenities\Eylin Oud kit\IMG_20260417_103801.png | source-assets\full-catalogue\website folder\wet amenities\Eylin Oud kit\IMG_20260417_104211.jpg.jpeg"
"eylin-oud-soap","EYLIN Oud Soap","Soaps","EYLIN Oud","Soap","source-assets\full-catalogue\website folder\wet amenities\Eylin Oud kit\IMG_20260416_182844.png | source-assets\full-catalogue\website folder\wet amenities\Eylin Oud kit\IMG_20260416_183806.png | source-assets\full-catalogue\website folder\wet amenities\Eylin Oud kit\IMG_20260416_184958.png | source-assets\full-catalogue\website folder\wet amenities\Eylin Oud kit\IMG_20260417_103816.png"
"eylin-oud-shower-gel","EYLIN Oud Shower Gel","Bath & Body","EYLIN Oud","Shower Gel","source-assets\full-catalogue\website folder\wet amenities\Eylin Oud kit\IMG_20260416_184905.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\Eylin Oud kit\IMG_20260417_104132.jpg.jpeg"
"eylin-oud-shampoo","EYLIN Oud Shampoo","Hair Care","EYLIN Oud","Oud extract","source-assets\full-catalogue\website folder\wet amenities\Eylin Oud kit\IMG_20260417_103919.png | source-assets\full-catalogue\website folder\wet amenities\Eylin Oud kit\IMG_20260416_185032.png"
"eylin-oud-body-lotion","EYLIN Oud Body Lotion","Bath & Body","EYLIN Oud","Oud extract","source-assets\full-catalogue\website folder\wet amenities\Eylin Oud kit\IMG_20260417_103844.png | source-assets\full-catalogue\website folder\wet amenities\Eylin Oud kit\IMG_20260417_103919.png"
"eylin-orange-guest-amenity-kit","EYLIN Orange Guest Amenity Kit","Gift Sets","EYLIN Orange","Coordinated guest amenities","source-assets\full-catalogue\website folder\wet amenities\eylin orange kit\WhatsApp Image 2026-07-24 at 17.39.01 (1).jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin orange kit\WhatsApp Image 2026-07-24 at 17.38.40.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin orange kit\WhatsApp Image 2026-07-24 at 17.38.43 (1).jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin orange kit\WhatsApp Image 2026-07-24 at 17.39.02 (2).jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin orange kit\WhatsApp Image 2026-07-24 at 17.39.02 (3).jpeg"
"eylin-orange-soap","EYLIN Orange Soap","Soaps","EYLIN Orange","Soap","source-assets\full-catalogue\website folder\wet amenities\eylin orange kit\WhatsApp Image 2026-07-24 at 17.38.37.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin orange kit\WhatsApp Image 2026-07-24 at 17.38.38.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin orange kit\WhatsApp Image 2026-07-24 at 17.38.43 (2).jpeg"
"eylin-orange-shampoo","EYLIN Orange Shampoo","Hair Care","EYLIN Orange","Shampoo","source-assets\full-catalogue\website folder\wet amenities\eylin orange kit\WhatsApp Image 2026-07-24 at 17.38.56.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin orange kit\WhatsApp Image 2026-07-24 at 17.38.46 (1).jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin orange kit\WhatsApp Image 2026-07-24 at 17.38.47.jpeg"
"eylin-orange-shower-gel","EYLIN Orange Shower Gel","Bath & Body","EYLIN Orange","Shower Gel","source-assets\full-catalogue\website folder\wet amenities\eylin orange kit\WhatsApp Image 2026-07-24 at 17.38.58 (1).jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin orange kit\WhatsApp Image 2026-07-24 at 17.38.58.jpeg"
"eylin-orange-body-lotion","EYLIN Orange Body Lotion","Bath & Body","EYLIN Orange","Body Lotion","source-assets\full-catalogue\website folder\wet amenities\eylin orange kit\WhatsApp Image 2026-07-24 at 17.38.54 (1).jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin orange kit\WhatsApp Image 2026-07-24 at 17.38.55.jpeg"
"eylin-aqua-guest-amenity-kit","EYLIN Aqua Guest Amenity Kit","Gift Sets","EYLIN Aqua","Coordinated guest amenities","source-assets\full-catalogue\website folder\wet amenities\Aqua kit\IMG_20260422_115218.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\Aqua kit\IMG_20260422_115000.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\Aqua kit\IMG_20260422_115551.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\Aqua kit\IMG_20260422_115710.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\Aqua kit\WhatsApp Image 2026-07-24 at 16.53.57.jpeg"
"eylin-aqua-soap","EYLIN Aqua Soap","Soaps","EYLIN Aqua","Soap","source-assets\full-catalogue\website folder\wet amenities\Aqua kit\IMG_20260422_114819.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\Aqua kit\IMG_20260422_114430.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\Aqua kit\IMG_20260422_115929.png"
"eylin-aqua-shampoo","EYLIN Aqua Shampoo","Hair Care","EYLIN Aqua","Shampoo","source-assets\full-catalogue\website folder\wet amenities\Aqua kit\IMG_20260422_115921.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\Aqua kit\IMG_20260422_115722.png"
"eylin-aqua-shower-gel","EYLIN Aqua Shower Gel","Bath & Body","EYLIN Aqua","Aqua collection","source-assets\full-catalogue\website folder\wet amenities\Aqua kit\IMG_20260422_113901.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\Aqua kit\IMG_20260422_115516.jpg.jpeg"
"eylin-aqua-moisturiser","EYLIN Aqua Moisturiser","Bath & Body","EYLIN Aqua","Moisturiser","source-assets\full-catalogue\website folder\wet amenities\Aqua kit\IMG_20260422_115637.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\Aqua kit\IMG_20260422_114253.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\Aqua kit\IMG_20260422_115308.jpg.jpeg"
"eylin-bulgarian-rose-guest-amenity-kit","EYLIN Bulgarian Rose Guest Amenity Kit","Gift Sets","EYLIN Bulgarian Rose","Coordinated guest amenities","source-assets\full-catalogue\website folder\wet amenities\bulgarian rose kit\IMG_20260319_185922.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\bulgarian rose kit\IMG_20260319_130524.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\bulgarian rose kit\IMG_20260319_130557.png | source-assets\full-catalogue\website folder\wet amenities\bulgarian rose kit\IMG_20260319_190114.jpg (1).jpeg | source-assets\full-catalogue\website folder\wet amenities\bulgarian rose kit\IMG_20260319_191630.png"
"eylin-bulgarian-rose-soap","EYLIN Bulgarian Rose Soap","Soaps","EYLIN Bulgarian Rose","Soap","source-assets\full-catalogue\website folder\wet amenities\bulgarian rose kit\IMG_20260319_185513.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\bulgarian rose kit\IMG_20260319_130543.png | source-assets\full-catalogue\website folder\wet amenities\bulgarian rose kit\IMG_20260319_190140.jpg.jpeg"
"eylin-bulgarian-rose-shampoo","EYLIN Bulgarian Rose Shampoo","Hair Care","EYLIN Bulgarian Rose","Shampoo","source-assets\full-catalogue\website folder\wet amenities\bulgarian rose kit\IMG_20260319_190056.jpg.jpeg"
"eylin-bulgarian-rose-shower-gel","EYLIN Bulgarian Rose Shower Gel","Bath & Body","EYLIN Bulgarian Rose","Shower Gel","source-assets\full-catalogue\website folder\wet amenities\bulgarian rose kit\IMG_20260319_190016.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\bulgarian rose kit\IMG_20260319_190030.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\bulgarian rose kit\IMG_20260319_190042.jpg.jpeg"
"eylin-bulgarian-rose-moisturising-lotion","EYLIN Bulgarian Rose Moisturising Lotion","Bath & Body","EYLIN Bulgarian Rose","Moisturising Lotion","source-assets\full-catalogue\website folder\wet amenities\bulgarian rose kit\IMG_20260319_190001.jpg.jpeg"
"eylin-almond-and-aloe-vera-guest-amenity-kit","EYLIN Almond & Aloe Vera Guest Amenity Kit","Gift Sets","EYLIN Almond & Aloe Vera","Coordinated guest amenities","source-assets\full-catalogue\website folder\wet amenities\eylin almond kit\IMG_20260424_171143.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin almond kit\IMG_20260424_180300.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin almond kit\IMG_20260424_180145.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin almond kit\IMG_20260424_180649.jpg.jpeg"
"eylin-almond-and-aloe-vera-soap","EYLIN Almond & Aloe Vera Soap","Soaps","EYLIN Almond & Aloe Vera","Soap","source-assets\full-catalogue\website folder\wet amenities\eylin almond kit\IMG_20260424_180356.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin almond kit\IMG_20260424_170951.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin almond kit\IMG_20260424_180328.jpg.jpeg"
"eylin-almond-and-aloe-vera-shampoo","EYLIN Almond & Aloe Vera Shampoo","Hair Care","EYLIN Almond & Aloe Vera","Shampoo","source-assets\full-catalogue\website folder\wet amenities\eylin almond kit\IMG_20260424_180523.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin almond kit\IMG_20260424_175959.jpg.jpeg"
"eylin-almond-and-aloe-vera-shower-gel","EYLIN Almond & Aloe Vera Shower Gel","Bath & Body","EYLIN Almond & Aloe Vera","Shower Gel","source-assets\full-catalogue\website folder\wet amenities\eylin almond kit\IMG_20260424_170222.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin almond kit\IMG_20260424_170151.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin almond kit\IMG_20260424_180443.jpg.jpeg"
"eylin-almond-and-aloe-vera-body-lotion","EYLIN Almond & Aloe Vera Body Lotion","Bath & Body","EYLIN Almond & Aloe Vera","Body Lotion","source-assets\full-catalogue\website folder\wet amenities\eylin almond kit\IMG_20260424_165800.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin almond kit\IMG_20260424_170101.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin almond kit\IMG_20260424_180457.jpg.jpeg"
"eylin-blue-lotus-guest-amenity-kit","EYLIN Blue Lotus Guest Amenity Kit","Gift Sets","EYLIN Blue Lotus","Coordinated guest amenities","source-assets\full-catalogue\website folder\wet amenities\eylin blue lotus kit\IMG_20260415_145850.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin blue lotus kit\IMG_20260415_145421.png | source-assets\full-catalogue\website folder\wet amenities\eylin blue lotus kit\IMG_20260415_145437.png | source-assets\full-catalogue\website folder\wet amenities\eylin blue lotus kit\IMG_20260415_145517.png"
"eylin-blue-lotus-soap","EYLIN Blue Lotus Soap","Soaps","EYLIN Blue Lotus","Soap","source-assets\full-catalogue\website folder\wet amenities\eylin blue lotus kit\IMG_20260415_144500.png | source-assets\full-catalogue\website folder\wet amenities\eylin blue lotus kit\IMG_20260415_144536.png | source-assets\full-catalogue\website folder\wet amenities\eylin blue lotus kit\IMG_20260415_144613.png"
"eylin-blue-lotus-shampoo","EYLIN Blue Lotus Shampoo","Hair Care","EYLIN Blue Lotus","Shampoo","source-assets\full-catalogue\website folder\wet amenities\eylin blue lotus kit\IMG_20260415_133649.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin blue lotus kit\IMG_20260415_144814.png | source-assets\full-catalogue\website folder\wet amenities\eylin blue lotus kit\IMG_20260415_144825.png"
"eylin-blue-lotus-shower-gel","EYLIN Blue Lotus Shower Gel","Bath & Body","EYLIN Blue Lotus","Shower Gel","source-assets\full-catalogue\website folder\wet amenities\eylin blue lotus kit\IMG_20260415_144731.png | source-assets\full-catalogue\website folder\wet amenities\eylin blue lotus kit\IMG_20260415_144711.png"
"eylin-blue-lotus-body-lotion","EYLIN Blue Lotus Body Lotion","Bath & Body","EYLIN Blue Lotus","Body Lotion","source-assets\full-catalogue\website folder\wet amenities\eylin blue lotus kit\IMG_20260415_145721.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin blue lotus kit\IMG_20260415_145705.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin blue lotus kit\IMG_20260415_145738.jpg.jpeg"
"eylin-bukhoor-guest-amenity-kit","EYLIN Bukhoor Guest Amenity Kit","Gift Sets","EYLIN Bukhoor","Coordinated guest amenities","source-assets\full-catalogue\website folder\wet amenities\eylin bukhoor kit\WhatsApp Image 2026-09-09 at 15.58.42 (2).jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin bukhoor kit\WhatsApp Image 2026-09-09 at 15.58.45 (1).jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin bukhoor kit\WhatsApp Image 2026-09-09 at 15.58.45.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin bukhoor kit\WhatsApp Image 2026-09-09 at 15.58.48.jpeg"
"eylin-bukhoor-soap","EYLIN Bukhoor Soap","Soaps","EYLIN Bukhoor","Soap","source-assets\full-catalogue\website folder\wet amenities\eylin bukhoor kit\WhatsApp Image 2026-09-09 at 16.21.33.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin bukhoor kit\WhatsApp Image 2026-09-09 at 16.21.34.jpeg"
"eylin-bukhoor-shampoo","EYLIN Bukhoor Shampoo","Hair Care","EYLIN Bukhoor","Shampoo","source-assets\full-catalogue\website folder\wet amenities\eylin bukhoor kit\WhatsApp Image 2026-09-09 at 15.58.44.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin bukhoor kit\WhatsApp Image 2026-09-09 at 15.58.42 (2).jpeg"
"eylin-bukhoor-shower-gel","EYLIN Bukhoor Shower Gel","Bath & Body","EYLIN Bukhoor","Shower Gel","source-assets\full-catalogue\website folder\wet amenities\eylin bukhoor kit\WhatsApp Image 2026-09-09 at 15.58.47 (1).jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin bukhoor kit\WhatsApp Image 2026-09-09 at 15.58.42 (2).jpeg"
"eylin-bukhoor-body-lotion","EYLIN Bukhoor Body Lotion","Bath & Body","EYLIN Bukhoor","Body Lotion","source-assets\full-catalogue\website folder\wet amenities\eylin bukhoor kit\WhatsApp Image 2026-09-09 at 15.58.47.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin bukhoor kit\WhatsApp Image 2026-09-09 at 15.58.42 (2).jpeg"
"eylin-green-apple-guest-amenity-kit","EYLIN Green Apple Guest Amenity Kit","Gift Sets","EYLIN Green Apple","Coordinated guest amenities","source-assets\full-catalogue\website folder\wet amenities\eylin green apple kit\IMG_20260427_173736.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin green apple kit\IMG_20260427_173633.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin green apple kit\IMG_20260427_173751.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin green apple kit\IMG_20260427_175039.jpg.jpeg"
"eylin-green-apple-soap","EYLIN Green Apple Soap","Soaps","EYLIN Green Apple","Soap","source-assets\full-catalogue\website folder\wet amenities\eylin green apple kit\IMG_20260427_173942.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin green apple kit\IMG_20260427_173927.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin green apple kit\IMG_20260427_174342.jpg.jpeg"
"eylin-green-apple-shampoo","EYLIN Green Apple Shampoo","Hair Care","EYLIN Green Apple","Shampoo","source-assets\full-catalogue\website folder\wet amenities\eylin green apple kit\IMG_20260427_175131.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin green apple kit\IMG_20260427_174922.jpg.jpeg"
"eylin-green-apple-shower-gel","EYLIN Green Apple Shower Gel","Bath & Body","EYLIN Green Apple","Shower Gel","source-assets\full-catalogue\website folder\wet amenities\eylin green apple kit\IMG_20260427_175142.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin green apple kit\IMG_20260427_174503.jpg.jpeg"
"eylin-green-apple-body-lotion","EYLIN Green Apple Body Lotion","Bath & Body","EYLIN Green Apple","Body Lotion","source-assets\full-catalogue\website folder\wet amenities\eylin green apple kit\IMG_20260427_174052.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin green apple kit\IMG_20260427_174003.png"
"eylin-lemongrass-guest-amenity-kit","EYLIN Lemongrass Guest Amenity Kit","Gift Sets","EYLIN Lemongrass","Coordinated guest amenities","source-assets\full-catalogue\website folder\wet amenities\eylin lemongrass kit\WhatsApp Image 2026-09-09 at 15.58.49 (1).jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin lemongrass kit\WhatsApp Image 2026-09-09 at 15.58.48 (1).jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin lemongrass kit\WhatsApp Image 2026-09-09 at 15.58.49.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin lemongrass kit\WhatsApp Image 2026-09-09 at 15.58.51.jpeg"
"eylin-lemongrass-soap","EYLIN Lemongrass Soap","Soaps","EYLIN Lemongrass","Soap","source-assets\full-catalogue\website folder\wet amenities\eylin lemongrass kit\WhatsApp Image 2026-09-09 at 16.21.35.jpeg"
"eylin-lemongrass-shampoo","EYLIN Lemongrass Shampoo","Hair Care","EYLIN Lemongrass","Shampoo","source-assets\full-catalogue\website folder\wet amenities\eylin lemongrass kit\WhatsApp Image 2026-09-09 at 15.58.49 (1).jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin lemongrass kit\WhatsApp Image 2026-09-09 at 15.58.48 (2).jpeg"
"eylin-lemongrass-shower-gel","EYLIN Lemongrass Shower Gel","Bath & Body","EYLIN Lemongrass","Shower Gel","source-assets\full-catalogue\website folder\wet amenities\eylin lemongrass kit\WhatsApp Image 2026-09-09 at 15.58.49 (1).jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin lemongrass kit\WhatsApp Image 2026-09-09 at 15.58.50 (1).jpeg"
"eylin-lemongrass-body-lotion","EYLIN Lemongrass Body Lotion","Bath & Body","EYLIN Lemongrass","Body Lotion","source-assets\full-catalogue\website folder\wet amenities\eylin lemongrass kit\WhatsApp Image 2026-09-09 at 15.58.49 (1).jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin lemongrass kit\WhatsApp Image 2026-09-09 at 15.58.50.jpeg"
"eylin-moringa-guest-amenity-kit","EYLIN Moringa Guest Amenity Kit","Gift Sets","EYLIN Moringa","Coordinated guest amenities","source-assets\full-catalogue\website folder\wet amenities\eylin moringa kit\WhatsApp Image 2026-07-24 at 15.40.27.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin moringa kit\WhatsApp Image 2026-07-24 at 15.40.26 (2).jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin moringa kit\WhatsApp Image 2026-07-24 at 15.49.36.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin moringa kit\WhatsApp Image 2026-07-24 at 15.49.37.jpeg"
"eylin-moringa-soap","EYLIN Moringa Soap","Soaps","EYLIN Moringa","12 g","source-assets\full-catalogue\website folder\wet amenities\eylin moringa kit\WhatsApp Image 2026-07-24 at 15.40.23 (1).jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin moringa kit\WhatsApp Image 2026-07-24 at 15.40.24 (3).jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin moringa kit\WhatsApp Image 2026-07-24 at 15.40.25.jpeg"
"eylin-moringa-shampoo","EYLIN Moringa Shampoo","Hair Care","EYLIN Moringa","Moringa shampoo","source-assets\full-catalogue\website folder\wet amenities\eylin moringa kit\WhatsApp Image 2026-07-24 at 15.40.21 (3).jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin moringa kit\WhatsApp Image 2026-07-24 at 15.40.22.jpeg"
"eylin-moringa-shower-gel","EYLIN Moringa Shower Gel","Bath & Body","EYLIN Moringa","15 ml","source-assets\full-catalogue\website folder\wet amenities\eylin moringa kit\WhatsApp Image 2026-07-24 at 15.40.19.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin moringa kit\WhatsApp Image 2026-07-24 at 15.40.20.jpeg"
"eylin-moringa-hair-conditioner","EYLIN Moringa Hair Conditioner","Hair Care","EYLIN Moringa","15 ml","source-assets\full-catalogue\website folder\wet amenities\eylin moringa kit\WhatsApp Image 2026-07-24 at 15.40.22 (1).jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin moringa kit\WhatsApp Image 2026-07-24 at 15.40.23.jpeg"
"eylin-moringa-moisturising-lotion","EYLIN Moringa Moisturising Lotion","Bath & Body","EYLIN Moringa","15 ml","source-assets\full-catalogue\website folder\wet amenities\eylin moringa kit\WhatsApp Image 2026-07-24 at 15.40.24 (2).jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin moringa kit\WhatsApp Image 2026-07-24 at 15.40.24 (1).jpeg"
"eylin-moringa-talcum-powder","EYLIN Moringa Talcum Powder","Bath & Body","EYLIN Moringa","15 g","source-assets\full-catalogue\website folder\wet amenities\eylin moringa kit\WhatsApp Image 2026-07-24 at 15.40.21 (1).jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin moringa kit\WhatsApp Image 2026-07-24 at 15.40.21 (2).jpeg"
"eylin-neem-and-aloe-vera-guest-amenity-kit","EYLIN Neem & Aloe Vera Guest Amenity Kit","Gift Sets","EYLIN Neem & Aloe Vera","Coordinated guest amenities","source-assets\full-catalogue\website folder\wet amenities\eylin neem & aloevera kit\IMG_20260507_105015.png | source-assets\full-catalogue\website folder\wet amenities\eylin neem & aloevera kit\IMG_20260502_184030.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin neem & aloevera kit\IMG_20260502_184046.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin neem & aloevera kit\IMG_20260507_113526.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin neem & aloevera kit\IMG_20260507_113736.jpg.jpeg"
"eylin-neem-and-aloe-vera-soap","EYLIN Neem & Aloe Vera Soap","Soaps","EYLIN Neem & Aloe Vera","Soap","source-assets\full-catalogue\website folder\wet amenities\eylin neem & aloevera kit\IMG_20260502_185803.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin neem & aloevera kit\IMG_20260502_185911.jpg.jpeg | source-assets\full-catalogue\website folder\wet amenities\eylin neem & aloevera kit\IMG_20260507_104421.png"
